CatalogID,Title,Author,Qty Sold,SRP per Unit,SRP Total,AmountOwed
8849,A Streetcar Named Desire,Pet Bird Entertainment LLC,3,14.95,44.85,22.44
9066,A Surprise in the Ring,Bennett Media Worldwide,1,14.95,14.95,7.48
8500,"Abu Dhabi, United Arab Emirates",Global Television,1,19.95,19.95,9.98
7118,Acadia New England,Global Television,2,29.99,59.98,30
9269,Across the USA,Shepherd Entertainment,2,19.95,39.9,19.96
8938,Adventure,Vision Films,1,14.95,14.95,7.48
7527,Aerobic General Fitness Training,Global Television,1,19.99,19.99,10
8441,Africa the Serengeti,MagicPlay Entertainment,9,15.95,143.55,71.82
7641,Alaska,Worldwide Travel Films,2,37.43,74.86,37.44
8442,Alaska Spirit of the Wild,MagicPlay Entertainment,9,11.99,107.91,54
9142,Albuquerque International Balloon Fiesta,Castle Creek Productions,1,19.95,19.95,9.98
8063,Amazing Thailand,Shidog Films,2,29.93,59.86,29.94
8208,America & the Passenger Train,RK Publishing,1,19.95,19.95,9.98
8435,Antarctica,MagicPlay Entertainment,6,11.99,71.94,36
9184,Antigua & Barbuda,TravelView International,2,9.95,19.9,9.96
7132,Arches Park Utah,Global Television,1,29.99,29.99,15
9186,Aruba,TravelView International,1,14.95,14.95,7.48
8474,"Atlantis, Bahamas",Global Television,1,19.95,19.95,9.98
8434,Australia Land Beyond Time,MagicPlay Entertainment,9,19.95,179.55,89.82
8850,Back in Time,Pet Bird Entertainment LLC,1,14.95,14.95,7.48
7159,Badlands South Dakota,Global Television,1,29.99,29.99,15
7225,Bahamas,Global Television,2,29.99,59.98,30
9187,Barbados,TravelView International,2,14.95,29.9,14.96
9273,Barcelona,Shepherd Entertainment,1,19.95,19.95,9.98
8433,Bears,MagicPlay Entertainment,5,15.99,79.95,40
7523,Belly Dance For Fitness and Fun,Global Television,5,19.99,99.95,50
8766,Beyond the List New York,Bennett Media Worldwide,1,14.95,14.95,7.48
7517,Body Shaping For a Trim and Beautiful Figure,Global Television,1,19.99,19.99,10
7520,Body Walk Fitness Through Walking,Global Television,1,19.99,19.99,10
7120,Bog of Zapata Cuba,Global Television,1,29.99,29.99,15
7114,Bryce Canyon Utah,Global Television,1,29.99,29.99,15
7261,California USA,Global Television,3,29.99,89.97,45
7221,Canada,Global Television,3,29.99,89.97,45
8057,Canadian Rockies,John Prawdzik Productions,1,29.93,29.93,14.97
9188,Cancun,TravelView International,1,14.95,14.95,7.48
6522,Carnival's Paradise in the Caribbean,Ian Ross,1,22.49,22.49,11.25
7528,"Cellulitis, Gym Health and Beauty Exercises",Global Television,1,19.99,19.99,10
7233,China,Global Television,2,29.99,59.98,30
7347,Cienaga de Zapata Cuba,Global Television,1,22.43,22.43,11.22
8703,Cruising,Worldwide Entertainment,1,19.95,19.95,9.98
7130,Death Valley Nevada,Global Television,1,29.99,29.99,15
8348,Destination: San Francisco,Daval Productions,1,29.93,29.93,14.97
8344,Destination: Vancouver,Daval Productions,3,29.93,89.79,44.91
7210,Egypt,Global Television,2,29.99,59.98,30
5874,Europe Invaded,A2ZCDS,1,29.93,29.93,14.97
7117,Everglades Florida,Global Television,1,29.99,29.99,15
8460,First Emperor of China,MagicPlay Entertainment,1,11.99,11.99,6
9292,Florida,Shepherd Entertainment,2,19.95,39.9,19.96
4665,Florida Vacation & Travel Video,AV Creative Media,1,29.93,29.93,14.97
7227,France,Global Television,2,29.99,59.98,30
6527,Gardening with Summer Perennials,The Larkspur Company,1,29.99,29.99,15
7125,Grand Canyon Park Arizona,Global Television,1,29.99,29.99,15
6567,Great Cities of Europe,International Travel Films,1,44.93,44.93,22.47
7239,Greece,Global Television,2,29.99,59.98,30
8848,Guys and Dolls,Pet Bird Entertainment LLC,1,14.95,14.95,7.48
7219,Hawaii,Global Television,2,29.99,59.98,30
7289,Hawaii,Global Television,1,29.99,29.99,15
7457,Holland’s Tulip Gardens,Global Television,1,29.99,29.99,15
6359,"Ile, De, France",RDA Productions,1,14.95,14.95,7.48
4855,In the Grip of the Great Depression,A2ZCDS,1,24.95,24.95,12.48
4858,In the Grip of the Great Depression,A2ZCDS,1,19.95,19.95,9.98
9062,Iron Men,Bennett Media Worldwide,1,14.95,14.95,7.48
7634,Israel Today,Worldwide Travel Films,1,37.43,37.43,18.72
7229,Italia,Global Television,2,29.99,59.98,30
7524,Jogging Fitness Through Running,Global Television,1,19.99,19.99,10
8853,La Nouvelle Orleans,Pet Bird Entertainment LLC,1,14.95,14.95,7.48
7486,Las Vegas,Global Television,2,29.99,59.98,30
9145,Life and Death on the River Ganges,"Local Girl Productions, Inc",1,19.95,19.95,9.98
8426,Life In the Balance Lost Worlds Hosted By Harrison Ford,MagicPlay Entertainment,7,15.99,111.93,56
7139,Mesa Verde Colorado,Global Television,1,29.99,29.99,15
9181,Mexico City and Whistler,Golf Media Group,2,14.95,29.9,14.96
7226,New England,Global Television,1,29.99,29.99,15
4870,New York a Century Ago,A2ZCDS,1,24.95,24.95,12.48
7431,Niagara Falls,Global Television,1,29.99,29.99,15
8430,Ocean Oasis,MagicPlay Entertainment,5,15.99,79.95,40
8431,Ocean Origins,MagicPlay Entertainment,1,11.99,11.99,6
9321,Paris,Shepherd Entertainment,1,19.95,19.95,9.98
7145,Petrified Forest Arizona,Global Television,1,29.99,29.99,15
6570,Portraits of America,International Travel Films,1,29.93,29.93,14.97
9327,Rome,Shepherd Entertainment,1,19.95,19.95,9.98
9328,Route 66,Shepherd Entertainment,1,19.95,19.95,9.98
8908,Shakespeare Country,Prime Cut Productions,1,14.95,14.95,7.48
8448,Sky Dance,MagicPlay Entertainment,5,11.99,59.95,30
9335,South Africa,Shepherd Entertainment,1,19.95,19.95,9.98
9336,Spain,Shepherd Entertainment,1,19.95,19.95,9.98
9144,St. Paul Winter Carnival,Castle Creek Productions,1,19.95,19.95,9.98
7516,Step Aerobic General Fitness and Trim Legs,Global Television,1,19.99,19.99,10
7518,Stretching Be Supple and Fit Through Stretch Exercises,Global Television,2,19.99,39.98,20
4873,The Best of France,RDA Productions Inc,1,37.5,37.5,18.75
7534,The East of USA and Canada,ABCD Video,3,29.93,89.79,44.91
6627,The Great Canadian Train Ride,International Travel Films,1,29.93,29.93,14.97
6564,The Great Trans-American Train Ride,International Travel Films,1,29.93,29.93,14.97
6572,The Great World Cruise of the QE2,International Travel Films,1,29.93,29.93,14.97
6511,The Key West Picture Show,Southernmost Film Production,1,29.93,29.93,14.97
9046,The New Spider Men,Bennett Media Worldwide,1,14.95,14.95,7.48
7330,Valle de Viñales Cuba,Global Television,1,22.43,22.43,11.22
6462,Washington D.C.,The Nightingale Company,1,29.99,29.99,15
8438,Wolves,MagicPlay Entertainment,3,11.99,35.97,18
4238,World Explorations a Six Continent Journey,Tapeworm Video,1,19.95,19.95,9.98
7140,Yellowstone National Park Wyoming,Global Television,1,29.99,29.99,15
7526,Yoga Fitness Through Inner Peace,Global Television,1,19.99,19.99,10
