Sales Channel,Sales Date,External SKU,UPC/EAN,TitleID,Title,Units,HAP/Sales Price,HAP/Sales Price Total,Extended Price %,Extended Price per Unit,Extended Price Total,Cost per Unit,Cost Total,Publisher Compensation per Unit,Publisher Compensation Total
Amazon UK Retail,29/12/2014,TVSDVD0836,8.79061E+11,221248,Growing Good Roses,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,28/12/2014,BSPDVD306,8.79061E+11,221377,"Weekend Explorer  Cape Cod, Massachusetts",1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,13/12/2014,BNTDVDFTF01,5.03271E+11,221485,The North Yorkshire Moors Railway From The Footplate [PAL],1,9.99,9.99,50%,4.99,4.99,0,0,4.99,4.99
Amazon UK Retail,18/12/2014,ITFDVD112,8.83629E+11,228845,A Doug Jones Travelog The Great Canadian Train Ride,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,8/12/2014,7DYDVD152,8.83629E+11,236265,7 Days  CALIFORNIA U.S.A.,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,16/12/2014,7DYDVD126,8.83629E+11,236295,7 Days  NAMIBIA,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,7/12/2014,7DYDVD114,8.83629E+11,236307,7 Days  SOUTH AFRICA,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,1/12/2014,CDGDVD102,8.83629E+11,236364,Cosmos Global Documentaries  HADENDOA,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,14/12/2014,CDGDVD141,8.83629E+11,236371,"Cosmos Global Documentaries  MEKONG The Three Ancient Kingdoms Of Cambodia, Thailand & Vietnam",1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,1/12/2014,CDGDVD143,8.83629E+11,236397,Cosmos Global Documentaries IN THE LAND OF THE RISING DRAGON Vietnam,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,16/12/2014,GAPDVD017470,8.83629E+11,236406,Didyma [PAL],1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,29/12/2014,GOWDVD119,8.83629E+11,236464,Gardens of the World  JARDIN ANDALUZ,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,29/12/2014,GOWDVD104,8.83629E+11,236470,Gardens of the World  THE EXOTIC GARDENS OF CORNWALL,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,11/12/2014,GOWDVD106,8.83629E+11,236471,Gardens of the World  THE NATIONAL BOTANICAL GARDEN OF BRUSSELS,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,9/12/2014,GTRDVD1080,8.83629E+11,236477,Global Treasures  ABU SIMBEL Egypt,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,8/12/2014,GTRDVD1149,8.83629E+11,236490,Global Treasures  ANGKOR WAT Cambodia,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,1/12/2014,GTRDVD1109,8.83629E+11,236593,Global Treasures  LAKE TITICACA Lago Titicaca Peru,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,8/12/2014,NPMDVD130,8.83629E+11,236795,Nature Parks  KNYSNA Garden Of Eden South Africa,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,6/12/2014,NPMDVD112,8.83629E+11,236796,Nature Parks  KRUGER NATIONAL PARK South Africa,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,4/12/2014,NPMDVD112,8.83629E+11,236796,Nature Parks  KRUGER NATIONAL PARK South Africa,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,19/12/2014,NPMDVD107,8.83629E+11,236799,Nature Parks  MASSAI MARA Kenya,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,16/12/2014,7154,8.83629E+11,236812,Nature Parks  SERENGETI & NGORONGORO Tanzania,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,21/12/2014,NPMDVD128,8.83629E+11,236816,Nature Parks  YELLOWSTONE NATIONAL PARK Wyoming,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,21/12/2014,11_20,8.83629E+11,236911,On Tour...  CANADIAN ROCKIES Highway Across Paradise,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,14/12/2014,11_20,8.83629E+11,236929,On Tour...  MEKONG DELTA VIETNAM Exotic Asian Waterworld,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,21/12/2014,11_20,8.83629E+11,236941,On Tour...  STRADA DELLE DOLOMITI The Majesty Of The Dolomites,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,19/12/2014,BNTDVDFTF02,8.83629E+11,236992,The Keighley & Worth Valley Railway From The Footplate,1,9.99,9.99,50%,4.99,4.99,0,0,4.99,4.99
Amazon UK Retail,17/12/2014,9_24,8.83629E+11,237089,Vista Point  NEW YORK,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,14/12/2014,BSPDVD312,8.83629E+11,237153,"Weekend Explorer  Borneo, Malaysia",1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,20/12/2014,,8.83629E+11,239545,Tsunami,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,12/12/2014,,8.83629E+11,239577,Nepal,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,15/12/2014,,8.83629E+11,239595,Inside Iraq The Untold Stories,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,1/12/2014,,8.83629E+11,239602,Explore San Francisco 2nd Edition,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,17/12/2014,GRDVD15613,8.83629E+11,244894,GlobeRiders Iceland Adventure A Motorcycle Tour of Iceland,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,15/12/2014,GRDVD15613,8.83629E+11,244894,GlobeRiders Iceland Adventure A Motorcycle Tour of Iceland,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,16/12/2014,GRKDVDBEL,8.83629E+11,244901,Dive Travel  Belize Home of the Famous Blue Hole,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,14/12/2014,7956,8.83629E+11,244920,Prague (Praha) The Mother of Cities [PAL],1,14.99,14.99,50%,7.49,7.49,0,0,7.49,7.49
Amazon UK Retail,14/12/2014,AIEDVDVOL5,8.8363E+11,247435,Adventures in Europe  Vol 5 Amsterdam Pride,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,1/12/2014,C3DVDSAF,8.8363E+11,247437,Safari Kenya,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,22/12/2014,GRKDVDNWA,8.8363E+11,247445,Dive Travel Northwest Australia A Helicopter Diving Adventure,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,4/12/2014,JPPDVD028,8.8363E+11,247450,Canadian Rockies: Highlights,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,7/12/2014,JPPDVD028,8.8363E+11,247450,Canadian Rockies: Highlights,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,29/12/2014,JPPDVD032,8.8363E+11,247451,Vancouver,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,7/12/2014,JPPDVD036,8.8363E+11,247452,Victoria & Vancouver Island,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,29/12/2014,JPPDVD038,8.8363E+11,247454,Vancouver Island,1,17.97,17.97,50%,8.98,8.98,0,0,8.98,8.98
Amazon UK Retail,10/12/2014,BNTDVDBATTLE,8.8363E+11,250307,The Battle of Britain Memorial Flight 'Lest We Forget',1,9.99,9.99,50%,4.99,4.99,0,0,4.99,4.99
Amazon UK Retail,8/12/2014,CVMPDVD1582,8.8363E+11,250316,Yorkshire Dales A Landscape of Longing [PAL],1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,17/12/2014,CTCDVD49465,8.8363E+11,252997,World's Greatest Festivals  The Ultimate Guide to New York Fashion Week,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,4/12/2014,CTCDVD49466,8.8363E+11,253003,World's Greatest Festivals  The Ultimate Guide to the Sturgis Motorcycle Rally,1,8.99,8.99,50%,4.49,4.49,0,0,4.49,4.49
Amazon UK Retail,17/12/2014,GSEDVDHIMA,8.8363E+11,253023,Himalayan Journeys in Nepal and Ladakh,1,14.99,14.99,50%,7.49,7.49,0,0,7.49,7.49
Amazon UK Retail,11/12/2014,DAVDVDBC,8.8363E+11,253061,Destination British Columbia,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,2/12/2014,DAVDVDCA,8.8363E+11,253062,Destination California,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,3/12/2014,DAVDVDCA,8.8363E+11,253062,Destination California,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,13/12/2014,DAVDVDCA,8.8363E+11,253062,Destination California,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,15/12/2014,DAVDVDCA,8.8363E+11,253062,Destination California,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,19/12/2014,DAVDVDCA,8.8363E+11,253062,Destination California,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,30/12/2014,DAVDVDCAN,8.8363E+11,253065,Destination Canada,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,11/12/2014,ABCDPDVDHAW,8.8363E+11,253085,Hawaii [PAL],1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,23/12/2014,ABCDPDVDWESTUSA,8.8363E+11,253088,The West Of The USA [PAL],1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,15/12/2014,ABCDPDVDWESTUSA,8.8363E+11,253088,The West Of The USA [PAL],1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,8/12/2014,BNTPDVDNS3,8.8363E+11,258443,"Northern Skies 3 Nine Spectacular Aerial Joureys across Yorkshire, Cumbria and The North East [PAL]",1,17.97,17.97,50%,8.98,8.98,0,0,8.98,8.98
Amazon UK Retail,17/12/2014,DAVDVDFIRE,8.8363E+11,258451,Fireplace In A Box,1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,5/12/2014,VPGDVD240,8.8363E+11,258530,"Vista Point  KOLKATA - Calcutta, India",1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,17/12/2014,BNTPDVDSCF01,8.8363E+11,258668,Dickie Bird At The World's Greatest Festival In Scarborough [PAL],1,9.99,9.99,50%,4.99,4.99,0,0,4.99,4.99
Amazon UK Retail,1/12/2014,BNTPDVDSCF01,8.8363E+11,258668,Dickie Bird At The World's Greatest Festival In Scarborough [PAL],1,9.99,9.99,50%,4.99,4.99,0,0,4.99,4.99
Amazon UK Retail,17/12/2014,BAYDVD43226,8.8363E+11,258677,"City Tour West Los Angeles, Las Vegas and San Francisco",1,7.99,7.99,50%,3.99,3.99,0,0,3.99,3.99
Amazon UK Retail,5/12/2014,,8.8363E+11,260445,Iceland's Favourite Places  Reykjavik & The Golden Circle (PAL),1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,5/12/2014,,8.8363E+11,260445,Iceland's Favourite Places  Reykjavik & The Golden Circle (PAL),1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,19/12/2014,,8.8363E+11,260445,Iceland's Favourite Places  Reykjavik & The Golden Circle (PAL),1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,11/12/2014,,8.8363E+11,260446,Iceland's Favourite Places  Akureyri & The Magical North (PAL),1,11.99,11.99,50%,5.99,5.99,0,0,5.99,5.99
Amazon UK Retail,28/12/2014,,8.8363E+11,261156,Iceland's Favourite Places,1,14.99,14.99,50%,7.49,7.49,0,0,7.49,7.49
Amazon UK Retail,8/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,21/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,17/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,4/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,1/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,14/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,18/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,20/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,3/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,9/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,5/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),2,7.41,14.82,50%,3.7,7.4,0,0,3.7,7.4
Amazon UK Retail,1/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,12/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,13/12/2014,221184,8.8363E+11,266093,English Cottage and Country Gardens (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,21/12/2014,221358,8.8363E+11,266098,The Great Gardens of England (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,5/12/2014,221358,8.8363E+11,266098,The Great Gardens of England (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,9/12/2014,221358,8.8363E+11,266098,The Great Gardens of England (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,11/12/2014,221484,8.8363E+11,266101,Slovenia and Croatia (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,8/12/2014,221348,8.8363E+11,266102,Take A Tour Of... Las Vegas (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,28/12/2014,221302,8.8363E+11,266106,Machu Picchu and the Sacred Valley (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,6/12/2014,221285,8.8363E+11,266107,Europe's Wild Gem Iceland -- It's so much more than ice! (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,21/12/2014,236437,8.8363E+11,266109,Exploring French Wine Regions (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,26/12/2014,214895,8.8363E+11,266111,Panorama Singapore (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,18/12/2014,236955,8.8363E+11,266118,Silk Road Journey From China Through Central Asia (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,9/12/2014,237004,8.8363E+11,266119,Undiscovered Wales (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,22/12/2014,237041,8.8363E+11,266127,Vista Point  DUBAI United Arab Emirates (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,20/12/2014,237041,8.8363E+11,266127,Vista Point  DUBAI United Arab Emirates (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,14/12/2014,221248,8.8363E+11,266128,Growing Good Roses (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,26/12/2014,236335,8.8363E+11,266135,Bavaria and the Black Forest (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,2/12/2014,236335,8.8363E+11,266135,Bavaria and the Black Forest (NTSC),2,7.41,14.82,50%,3.7,7.4,0,0,3.7,7.4
Amazon UK Retail,15/12/2014,236335,8.8363E+11,266135,Bavaria and the Black Forest (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,19/12/2014,236335,8.8363E+11,266135,Bavaria and the Black Forest (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,7/12/2014,221343,8.8363E+11,266144,South African Safari (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,5/12/2014,221343,8.8363E+11,266144,South African Safari (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,2/12/2014,221343,8.8363E+11,266144,South African Safari (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,5/12/2014,221343,8.8363E+11,266144,South African Safari (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,13/12/2014,221343,8.8363E+11,266144,South African Safari (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,1/12/2014,237019,8.8363E+11,266157,Vista Point  BARCELONA Spain (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,15/12/2014,237019,8.8363E+11,266157,Vista Point  BARCELONA Spain (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,18/12/2014,221160,8.8363E+11,266165,Bermuda (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,22/12/2014,236300,8.8363E+11,266177,7 Days  PERU (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,17/12/2014,236812,8.8363E+11,266195,Nature Parks  SERENGETI & NGORONGORO Tanzania (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,6/12/2014,236812,8.8363E+11,266195,Nature Parks  SERENGETI & NGORONGORO Tanzania (NTSC),2,7.41,14.82,50%,3.7,7.4,0,0,3.7,7.4
Amazon UK Retail,1/12/2014,236812,8.8363E+11,266195,Nature Parks  SERENGETI & NGORONGORO Tanzania (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,10/12/2014,236812,8.8363E+11,266195,Nature Parks  SERENGETI & NGORONGORO Tanzania (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,14/12/2014,236812,8.8363E+11,266195,Nature Parks  SERENGETI & NGORONGORO Tanzania (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,8/12/2014,236812,8.8363E+11,266195,Nature Parks  SERENGETI & NGORONGORO Tanzania (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,16/12/2014,236812,8.8363E+11,266195,Nature Parks  SERENGETI & NGORONGORO Tanzania (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,4/12/2014,221300,8.8363E+11,266199,"Lisbon, Portugal (NTSC)",1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,7/12/2014,221300,8.8363E+11,266199,"Lisbon, Portugal (NTSC)",1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,30/12/2014,236296,8.8363E+11,266204,7 Days  NEPAL (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,22/12/2014,236490,8.8363E+11,266223,Global Treasures  ANGKOR WAT Cambodia (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,18/12/2014,236490,8.8363E+11,266223,Global Treasures  ANGKOR WAT Cambodia (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,27/12/2014,236291,8.8363E+11,266226,7 Days  MALTA (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,21/12/2014,236291,8.8363E+11,266226,7 Days  MALTA (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,17/12/2014,236291,8.8363E+11,266226,7 Days  MALTA (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,12/12/2014,236291,8.8363E+11,266226,7 Days  MALTA (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,8/12/2014,228845,8.8363E+11,266231,A Doug Jones Travelog The Great Canadian Train Ride (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,20/12/2014,228845,8.8363E+11,266231,A Doug Jones Travelog The Great Canadian Train Ride (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,4/12/2014,228845,8.8363E+11,266231,A Doug Jones Travelog The Great Canadian Train Ride (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,6/12/2014,228845,8.8363E+11,266231,A Doug Jones Travelog The Great Canadian Train Ride (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,10/12/2014,236738,8.8363E+11,266248,Images of Umbria (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,15/12/2014,237076,8.8363E+11,266264,Vista Point  MADRID Spain (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,7/12/2014,214889,8.8363E+11,266266,Perth Australia's Golden City (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,18/12/2014,236639,8.8363E+11,266271,Global Treasures  Peterhof Russia (NTSC),1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,2/12/2014,236340,8.8363E+11,266293,"Britain's Gentle Highway ... a canal adventure in England, Scotland and Wales (NTSC)",2,7.41,14.82,50%,3.7,7.4,0,0,3.7,7.4
Amazon UK Retail,8/12/2014,236340,8.8363E+11,266293,"Britain's Gentle Highway ... a canal adventure in England, Scotland and Wales (NTSC)",1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,13/12/2014,236340,8.8363E+11,266293,"Britain's Gentle Highway ... a canal adventure in England, Scotland and Wales (NTSC)",1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
Amazon UK Retail,20/12/2014,236340,8.8363E+11,266293,"Britain's Gentle Highway ... a canal adventure in England, Scotland and Wales (NTSC)",1,7.41,7.41,50%,3.7,3.7,0,0,3.7,3.7
